Mobile Number,Email,College Attending,Confirmation
0871234567,test@test.com,"Dublin Road Campus, Galway",Yes
0862436578,g00366895@gmit.ie,"Dublin Road Campus, Galway",Yes
0891589781,kopryszek@gmail.com,"All Core Gym, Ballybrit",Yes
0872321234,g00366895@gmit.ie,"CCAM, Cluain Mhuire, Galway",Yes
0898786768,kopryszek@gmail.com,"Dublin Road Campus, Galway",Yes
08765432451,kopryszek@gmail.com,"Dublin Road Campus, Galway",Yes
0873678162,g00366895@gmit.ie,"Dublin Road Campus, Galway",Yes
0872678987,kopryszek@gmail.com,"Mountbellew Campus, County Galway",Yes
0873678654,kopryszek@gmail.com,"Letterfrack, County Galway",Yes
0873678654,kopryszek@gmail.com,"Letterfrack, County Galway",Yes
0873672891,kopryszek@gmail.com,"Dublin Road Campus, Galway",Yes
0851237865,g00366895@gmit.ie,"All Core Gym, Ballybrit",Yes
0871234567,G00366895@gmit.ie,"Dublin Road Campus, Galway",Yes
0873278658,"Dublin Road Campus, Galway",Yes
0871126787,"Dublin Road Campus, Galway",Yes
0870983889,"Letterfrack, County Galway",Yes
0873786568,"Mayo Campus, Castlebar",Yes
0867785439,GMIT (Organised Field Trip),Yes
0878763568,"CCAM, Cluain Mhuire, Galway",Yes
0865432176,"Letterfrack, County Galway",Yes
0873326546,"Dublin Road Campus, Galway",Yes
0876543556,"Dublin Road Campus, Galway",Yes
0873326754,"Dublin Road Campus, Galway",Yes
0873321642,"Dublin Road Campus, Galway",Yes
0876564354,GMIT (Organised Field Trip),Yes
0875546765,"Dublin Road Campus, Galway",Yes
0875555443,"CCAM, Cluain Mhuire, Galway",Yes
0876656454,"CCAM, Cluain Mhuire, Galway",Yes
0876671223,"Mayo Campus, Castlebar",Yes
,,
,,
232323,"CCAM, Cluain Mhuire, Galway",No
0873358965,"Letterfrack, County Galway",No
0876652132,"CCAM, Cluain Mhuire, Galway",No
0873326754,"Mountbellew Campus, County Galway",No
0864437851,"Dublin Road Campus, Galway",Yes
0864437851,"Dublin Road Campus, Galway",Yes
0873217865,"CCAM, Cluain Mhuire, Galway",Yes
0874326751,"Dublin Road Campus, Galway",Yes
0875327861,"Letterfrack, County Galway",Yes
0863271553,"CCAM, Cluain Mhuire, Galway",Yes
0863217642,GMIT (Organised Field Trip),Yes
0853217854,"Mountbellew Campus, County Galway",Yes
0864216742,"All Core Gym, Ballybrit",No
0864216742,"All Core Gym, Ballybrit",Yes
0863215643,"Dublin Road Campus, Galway",Yes
0864327615,"Dublin Road Campus, Galway",Yes
0853216743,GMIT (Organised Field Trip),Yes
0873261743,"CCAM, Cluain Mhuire, Galway",Yes
0873261743,"CCAM, Cluain Mhuire, Galway",Yes
0873216432,"Mayo Campus, Castlebar",Yes
0876216432,"Dublin Road Campus, Galway",Yes
0853261743,GMIT (Organised Field Trip),No
0863217643,"Dublin Road Campus, Galway",Yes
0864327612,"Letterfrack, County Galway",No
0865437322,"All Core Gym, Ballybrit",No
087543211,"CCAM, Cluain Mhuire, Galway",Yes
0875643266,"All Core Gym, Ballybrit",Yes
0875453422,"Dublin Road Campus, Galway",Yes
0875453678,"Letterfrack, County Galway",Yes
0875453233,"All Core Gym, Ballybrit",Yes
0876789900,"CCAM, Cluain Mhuire, Galway",No
0876789900,"CCAM, Cluain Mhuire, Galway",Yes
